#station_code lat lon elevation type warning_region drift_station_code wind_scaling_factor slope exposition
BIN3 46.347848 8.207829 2355 SNOW_FLAT 4242 null 1.0 null null
BIN4 46.348227 8.208991 2354 SNOW_FLAT 4242 GOM1 1.0 0 null
BOG1 46.328267 8.460046 2688 WIND 6114 null 1.0 null null
BOG2 46.333803 8.471618 2299 SNOW_FLAT 6114 BOG1 1.15 0 null
BOG3 46.306222 8.490981 2179 SNOW_SLOPE 6114 null 1.0 null null
BOR2 46.290531 8.109302 2517 SNOW_FLAT 4231 MUN1 0.98 0 null
BOV1 45.994521 7.239881 3211 WIND 4113 null 1.0 null null
BOV2 45.984792 7.237207 2687 SNOW_FLAT 4113 BOV1 1.05 0 null
CAM1 46.482695 8.700381 2668 WIND 6112 null 1.0 null null
CAM2 46.465725 8.717472 2216 SNOW_FLAT 6115 CAM1 1.09 0 null
CAM3 46.487575 8.708883 2257 SNOW_SLOPE 6112 null 1.0 40 60
CHA1 46.382898 7.152452 2540 WIND 1114 null 1.0 null null
CHA2 46.376962 7.163986 2218 SNOW_FLAT 1114 CHA1 1.11 0 null
CMA2 46.846872 9.183455 2325 SNOW_FLAT 5124 *CMA1 0.88 0 null
CON2 46.289739 7.274208 2229 SNOW_FLAT 4114 VDS1 1.08 0 null
COR2 46.123931 9.070731 1813 SNOW_FLAT 6122 null 1.0 null null
CSL2 47.116315 7.031337 1455 SNOW_FLAT 8211 null 1.0 0 null
DAV1 46.688510 9.814310 2890 WIND 5231 null 1.0 null null
DAV2 46.698888 9.819411 2558 SNOW_FLAT 5231 DAV1 1.22 0 null
DAV3 46.788833 9.773990 2455 SNOW_FLAT 5123 DAV1 1.22 0 null
DAV4 46.784194 9.784702 2330 FLOWCAPT 5123 null 1.0 0 null
DAV5 46.791617 9.790018 2315 SNOW_SLOPE 5123 null 1.0 null null
DAV6 46.782594 9.891263 2290 SNOW_FLAT 5123 DAV1 1.0 0 null
DIA2 46.315404 7.241038 2569 SNOW_FLAT 4114 *DIA1 0.66 0 null
DTR1 46.548067 8.866094 2388 WIND 6113 null 1.0 null null
DTR2 46.542866 8.869060 2057 SNOW_FLAT 6113 DTR1 1.4 0 null
EGH2 46.416811 8.091715 2500 SNOW_FLAT 4214 *EGH1 1.11 0 null
ELA1 46.581528 9.708234 3110 WIND 5232 null 1.0 null null
ELA2 46.591425 9.714694 2726 SNOW_FLAT 5231 ELA1 1.12 0 null
ELA3 46.603034 9.769788 2306 FLOWCAPT 5231 null 1.0 null null
ELM1 46.931471 9.120569 2447 WIND 3113 null 1.0 null null
ELM2 46.935609 9.136501 2058 SNOW_FLAT 3113 ELM1 0.93 0 null
ELS1 46.534689 7.639640 2340 WIND 1226 null 1.0 null null
ELS2 46.529602 7.641641 2143 SNOW_FLAT 1231 ELS1 0.99 0 null
ENG1 46.993127 9.201583 2510 WIND 3113 null 1.0 null null
ENG2 46.992782 9.189448 2162 SNOW_FLAT 3113 ENG1 1.0 0 null
ERN1 46.416222 8.233355 2600 WIND 4242 null 1.0 null null
ERN2 46.421174 8.232777 2450 SNOW_FLAT 4242 null 1.0 null null
FAE1 46.497117 7.489337 2761 WIND 1224 null 1.0 null null
FAE2 46.520413 7.495249 1971 SNOW_FLAT 1224 FAE1 0.89 0 null
FIR2 46.668777 8.064403 2111 SNOW_FLAT 1242 MAN1 0.89 0 null
FIS2 46.471465 7.673883 2155 SNOW_FLAT 1232 ELS1 0.99 0 null
FLU2 46.752712 9.946445 2394 SNOW_FLAT 5123 null 0.6 0 null
FNH1 46.120719 6.969971 2785 WIND 4111 null 1.0 null null
FNH2 46.100759 6.964104 2252 SNOW_FLAT 4111 FNH1 1.38 0 null
FOU1 45.991507 7.056001 3344 WIND 4113 null 1.0 null null
FOU2 45.971755 7.067234 2800 SNOW_FLAT 4113 FOU1 0.98 0 null
FOU3 45.970280 7.047490 2800 SNOW_FLAT 4113 null 1.0 null null
FOU4 45.976289 7.038522 2942 SNOW_FLAT 4113 null 1.0 null null
FRA2 46.338237 8.853177 2100 SNOW_FLAT 6121 null 1.19 0 null
FRA3 46.351958 8.818115 2170 FLOWCAPT 6121 null 1.0 43 225
FUL1 46.178679 7.113035 2899 WIND 4114 null 1.0 null null
FUL2 46.194684 7.089661 2602 SNOW_FLAT 1114 FUL1 1.0 0 null
FUS2 46.436421 8.620446 2390 SNOW_FLAT 6114 CAM1 1.09 0 null
GAD2 46.744189 8.397488 2063 SNOW_FLAT 1246 GUT1 0.75 0 null
GAL1 46.488058 8.226594 2466 WIND 4243 null 1.0 null null
GAL2 46.489124 8.228563 2430 WIND 4243 null 1.0 null null
GAN1 46.439679 7.766250 3193 WIND 1232 null 1.0 null null
GAN2 46.429261 7.760606 2710 SNOW_FLAT 4211 GAN1 0.9 0 null
GLA1 46.998721 8.998719 2909 WIND 3112 null 1.0 null null
GLA2 46.996629 9.037582 1632 SNOW_FLAT 3112 GLA1 0.87 0 null
GOM1 46.421460 8.242044 2728 WIND 4242 null 1.0 null null
GOM2 46.420456 8.232494 2439 SNOW_FLAT 4242 GOM1 0.88 0 null
GOM3 46.489142 8.228550 2427 SNOW_FLAT 4243 GOM1 0.88 0 null
GOR2 45.987192 7.783599 2953 SNOW_FLAT 4222 *GOR1 1.17 0 null
GOS2 46.673265 8.631772 2325 SNOW_FLAT 2223 URS1 1.0 0 null
GOS3 46.656420 8.606967 2209 SNOW_FLAT 2223 URS1 1.0 0 null
GRA1 46.352251 6.813629 2210 WIND 1311 null 1.0 null null
GRA2 46.346062 6.783550 1984 SNOW_FLAT 1311 GRA1 0.9 0 null
GUG2 46.142311 7.820231 2832 SNOW_FLAT 4221 null 1.0 null null
GUT1 46.692522 8.277976 2528 WIND 1245 null 1.0 null null
GUT2 46.679310 8.289691 2115 SNOW_FLAT 1245 GUT1 0.75 0 null
GUT3 46.672788 8.307506 2200 SNOW_FLAT 1245 null 1.0 null null
HIN1 47.153330 9.304818 2306 WIND 3222 null 1.0 null null
HTR1 46.533351 9.154144 3040 WIND 5223 null 1.0 null null
HTR2 46.544379 9.204335 2147 SNOW_FLAT 5223 HTR1 1.32 0 null
HTR3 46.536550 9.348527 2200 SNOW_FLAT 5223 HTR1 1.32 0 null
ILI1 46.190573 6.816213 2276 WIND 1312 null 1.0 null null
ILI2 46.191356 6.827797 2022 SNOW_FLAT 1312 ILI1 1.04 0 null
JAU1 46.629685 7.268950 2103 WIND 1121 null 1.0 null null
JAU2 46.633049 7.274541 1707 SNOW_FLAT 1121 JAU1 1.11 0 null
JUL1 46.482336 9.702893 2838 WIND 5234 null 1.0 null null
JUL2 46.478497 9.692311 2426 SNOW_FLAT 5234 JUL1 1.39 0 null
KES1 46.628259 9.900665 3152 WIND 7113 null 1.0 null null
KES2 46.621284 9.898139 2727 SNOW_FLAT 7113 KES1 0.97 0 null
KLO1 46.920811 9.868491 2542 WIND 5111 null 1.0 null null
KLO2 46.909115 9.873859 2147 SNOW_FLAT 5111 KLO1 1.4 0 null
KLO3 46.841271 9.931672 2299 SNOW_FLAT 5112 KLO1 1.4 0 null
KLT1 47.065310 9.025385 2282 WIND 3111 null 1.0 null null
KLT2 47.054146 8.996357 1930 SNOW_FLAT 3114 null 1.0 null null
KLT3 47.030620 8.969210 1258 SNOW_FLAT 3114 null 1.0 0 null
KLT4 47.047208 8.986597 1745 SNOW_FLAT 3114 KLT1 1.0 0 null
LAG1 46.448891 9.733082 3085 WIND 7111 null 1.0 null null
LAG2 46.451357 9.744580 2730 SNOW_FLAT 7111 LAG1 1.27 0 null
LAG3 46.424527 9.697772 2300 SNOW_FLAT 7111 LAG1 1.0 0 null
LAG4 46.438900 9.759671 1925 SNOW_SLOPE 7111 null 1.0 null null
LAU1 46.440208 7.354504 2476 WIND 1222 null 1.0 null null
LAU2 46.426029 7.379867 1970 SNOW_FLAT 1222 LAU1 1.16 0 null
LAV1 46.784326 10.112328 2405 FLOWCAPT 7123 null 1.0 null null
LHO2 46.582791 7.943742 2150 SNOW_FLAT 1233 null 1.1 0 null
LHO3 46.589253 7.942955 2190 FLOWCAPT 1233 null 1.0 null null
LUK1 46.611909 8.786547 3040 WIND 5212 null 1.0 null null
LUK2 46.604153 8.783521 2555 SNOW_FLAT 5212 LUK1 1.06 0 null
LUM2 46.731180 8.861690 2365 SNOW_SLOPE 5211 null 1.5 36 180
LUM3 46.732280 8.862570 2355 SNOW_SLOPE 5211 null 1.5 27 350
MAE2 46.618649 7.943542 2162 SNOW_FLAT 1242 MAN1 0.89 0 null
MAN1 46.618115 7.938067 2341 WIND 1242 null 1.0 null null
MEI2 46.743768 8.551014 2220 SNOW_FLAT 2221 URS1 1.39 0 null
MES1 46.417482 9.155697 2688 WIND 6211 null 1.0 null null
MES2 46.414011 9.160297 2384 SNOW_FLAT 6211 MES1 0.95 0 null
MLB1 47.086761 9.623993 2186 WIND 3311 null 1.0 null null
MLB2 47.088468 9.611770 1974 SNOW_FLAT 3311 MLB1 1.34 0 null
MTR2 46.408726 8.917591 1884 SNOW_FLAT 6115 *MTR1 0.79 0 null
MUN1 46.343827 7.916701 2926 WIND 4214 null 1.0 null null
MUN2 46.333068 7.925203 2205 SNOW_FLAT 4214 MUN1 0.98 0 null
MUO1 46.939350 8.786853 2325 WIND 2134 null 1.0 null null
MUO2 46.938217 8.745621 2083 SNOW_FLAT 2134 MUO1 1.2 0 null
MUT1 46.863574 9.045080 3103 WIND 3112 null 1.0 null null
MUT2 46.858758 9.017484 2481 SNOW_FLAT 3112 MUT1 0.78 0 null
NAR1 46.465104 8.866917 2299 WIND 6115 null 1.0 null null
NAR2 46.472991 8.868636 2077 SNOW_FLAT 6113 NAR1 0.87 0 null
NAS2 46.815038 10.255321 2350 SNOW_FLAT 7123 *NAS1 1.27 0 null
NEN1 46.143128 7.354023 2713 WIND 4115 null 1.0 null null
NEN2 46.156305 7.365251 2325 SNOW_FLAT 4122 null 1.0 null null
NEN3 46.143184 7.335297 2203 SNOW_FLAT 4115 NEN1 1.18 0 null
OBM2 46.421773 7.214386 2097 SNOW_FLAT 1112 LAU1 1.16 0 null
OBW1 46.549849 8.308415 2733 WIND 1247 null 1.0 null null
OBW2 46.545221 8.315956 2432 SNOW_FLAT 4243 OBW1 0.8 0 null
OBW3 46.507862 8.354478 2194 SNOW_FLAT 4244 OBW1 0.8 0 null
OFE1 46.605056 10.306127 2949 WIND 7231 null 1.0 null null
OFE2 46.631706 10.289051 2359 SNOW_FLAT 7231 OFE1 0.83 0 null
ORT2 46.918082 8.958550 1824 SNOW_FLAT 3112 GLA1 0.87 0 null
OTT2 46.539702 7.561637 2017 SNOW_FLAT 1226 FAE1 0.89 0 null
OUJ1 46.012179 7.215945 2640 WIND 4113 null 1.0 null null
OUJ2 46.011723 7.212719 2530 SNOW_FLAT 4113 null 1.0 null null
PAR2 46.851725 9.804844 2290 SNOW_FLAT 5122 *WFJ1 0.91 0 null
PLD2 46.426355 7.250623 2050 FLOWCAPT 1222 null 1.0 null null
PMA2 46.580076 9.537387 2429 SNOW_FLAT 5232 *PMA1 0.73 0 null
PON2 46.525630 8.496418 2305 SNOW_FLAT 6111 null 1.0 null null
PUZ1 46.623273 8.856811 2425 WIND 5212 null 1.0 null null
PUZ2 46.626351 8.862455 2196 SNOW_FLAT 5212 PUZ1 0.88 0 null
REV2 46.128679 9.073966 1926 SNOW_FLAT 6122 null 1.0 null null
RGS2 47.037494 8.974264 1578 SNOW_FLAT 3114 null 1.0 null null
RNZ2 46.685570 8.626788 2400 SNOW_FLAT 2223 null 1.09 0 null
ROA1 46.787120 8.046917 2348 WIND 1241 null 1.0 null null
ROA2 46.774319 7.993941 1875 SNOW_FLAT 1241 ROA1 0.84 0 null
ROA4 46.775387 8.009154 1837 SNOW_SLOPE 1241 null 1.0 null null
ROT2 46.746693 9.598804 2700 SNOW_FLAT 5221 null 1.0 null null
ROT3 46.733116 9.604385 2495 SNOW_FLAT 5221 null 1.0 0 null
SAA1 46.166345 7.861273 3245 WIND 4221 null 1.0 null null
SAA2 46.171835 7.879353 2480 SNOW_FLAT 4221 SAA1 0.93 0 null
SAA3 46.123822 7.973755 2804 SNOW_FLAT 4223 null 1.0 null null
SAA4 46.124467 7.905531 2680 SNOW_FLAT 4223 SAA1 0.93 0 null
SAA5 46.127483 7.981385 2952 SNOW_FLAT 4223 SAA1 1.0 0 null
SCA1 46.807255 8.732132 3187 WIND 2211 null 1.0 null null
SCA2 46.812955 8.717343 2032 SNOW_FLAT 2211 SCA1 0.88 0 null
SCA3 46.891538 8.779539 2338 SNOW_FLAT 2134 SCA1 0.88 0 null
SCB2 46.779375 8.103438 1777 SNOW_FLAT 2123 ROA1 0.84 0 null
SCH1 46.557313 7.835202 2996 WIND 1234 null 1.0 null null
SCH2 46.576916 7.834732 2332 SNOW_FLAT 1234 SCH1 0.97 0 null
SHE2 46.748825 7.812449 1852 SNOW_FLAT 1213 null 0.83 0 null
SIM1 46.462510 8.971946 2579 WIND 6113 null 1.0 null null
SIM2 46.467455 8.980823 2450 SNOW_FLAT 6113 SIM1 0.93 0 null
SLF2 46.812767 9.848265 1563 SNOW_FLAT 5123 null 2.0 0 null
SMN1 46.928619 10.448912 2975 WIND 7124 null 1.0 null null
SMN2 46.956380 10.338340 2512 SNOW_FLAT 7121 VIN1 0.88 0 null
SPN1 46.218276 8.081379 2980 WIND 4232 null 1.0 null null
SPN2 46.229444 8.117624 2620 SNOW_FLAT 4232 SPN1 0.66 0 null
SPN3 46.178012 8.045175 2424 SNOW_FLAT 4232 SPN1 0.66 0 null
STE2 46.730059 8.422448 1900 SNOW_FLAT 1246 null 1.0 null null
STH1 46.693863 7.538571 2190 WIND 1221 null 1.0 null null
STH2 46.682049 7.519649 1791 SNOW_FLAT 1221 STH1 1.0 0 null
STN2 46.167811 7.750559 2914 SNOW_FLAT 4221 ZER1 1.15 0 null
SWM1 46.551367 7.927542 2673 WIND 1234 null 1.0 null null
SWM2 46.520148 7.920184 2260 SNOW_SLOPE 1234 null 1.0 null null
TAM1 46.967422 9.399750 2689 WIND 3224 null 1.0 null null
TAM2 46.968364 9.390925 2468 SNOW_FLAT 3224 TAM1 0.98 0 null
TAM3 46.890984 9.458167 2166 SNOW_FLAT 3224 TAM1 0.98 0 null
TGL2 46.748852 10.352803 2918 SNOW_FLAT 7126 null 1.0 null null
TIT2 46.786009 8.409482 2149 SNOW_FLAT 2122 *TIT1 0.64 0 null
TRU1 46.383447 7.570579 3088 WIND 4211 null 1.0 null null
TRU2 46.370951 7.585572 2459 SNOW_FLAT 4215 TRU1 0.84 0 null
TUJ1 46.683729 8.694490 3028 WIND 5211 null 1.0 null null
TUJ2 46.683880 8.723751 2262 SNOW_FLAT 5211 TUJ1 0.92 0 null
TUJ3 46.647031 8.740223 2211 SNOW_FLAT 5212 TUJ1 0.92 0 null
TUJ4 46.591646 8.684848 2410 SNOW_FLAT 5212 null 1.0 null null
TUM1 46.784976 8.992269 3041 WIND 5124 null 1.0 null null
TUM2 46.781066 9.021468 2191 SNOW_FLAT 5124 TUM1 0.93 0 null
URS1 46.668131 8.638310 2784 WIND 2223 null 1.0 null null
URS2 46.586786 8.513859 2169 SNOW_FLAT 2224 URS1 1.39 0 null
VAL1 46.549258 8.610848 2450 WIND 6112 null 1.0 null null
VAL2 46.549038 8.613790 2268 SNOW_FLAT 6112 VAL1 1.4 0 null
VDS1 46.305191 7.352275 2696 WIND 4114 null 1.0 null null
VDS2 46.321511 7.367505 2385 SNOW_FLAT 4121 VDS1 1.08 0 null
VIA2 46.261690 10.167020 2355 SNOW_FLAT 7222 null 1.0 null null
VIN1 46.928788 10.449316 2975 WIND 7124 null 1.0 null null
VIN2 46.931767 10.442846 2729 SNOW_FLAT 7121 VIN1 0.88 0 null
VLS1 46.622800 9.125067 3121 WIND 5216 null 1.0 null null
VLS2 46.674411 9.205241 2064 SNOW_FLAT 5214 VLS1 1.14 0 null
VMA2 46.422000 9.465284 2530 SNOW_FLAT 5233 null 1.0 null null
VRG2 46.240234 8.475249 2040 SNOW_FLAT 6121 null 1.0 null null
VRG3 46.240399 8.474954 2038 SNOW_FLAT 6121 null 1.0 0 null
VSC1 46.753260 10.339132 3092 WIND 7126 null 1.0 null null
VSC2 46.748822 10.352906 2914 SNOW_FLAT 7126 VSC1 1.0 0 null
WAS2 46.684788 8.625968 2390 SNOW_FLAT 2223 null 1.0 0 null
WFJ2 46.829638 9.809289 2536 SNOW_FLAT 5123 *WFJ1 0.91 0 null
YBR2 47.035458 8.825416 1701 SNOW_FLAT 2132 null 0.87 0 null
ZER1 46.053659 7.736329 3345 WIND 4222 null 1.0 null null
ZER2 46.042177 7.727405 2752 SNOW_FLAT 4222 ZER1 1.15 0 null
ZER3 46.037652 7.734434 2930 SNOW_FLAT 4222 null 1.0 null null
ZER4 45.997989 7.702391 2408 SNOW_FLAT 4222 ZER1 1.15 0 null
ZER5 45.996327 7.712915 2380 SNOW_FLAT 4222 null 1.0 null null
ZNZ1 46.704252 9.997622 3133 WIND 7123 null 1.0 null null
ZNZ2 46.697716 10.018844 2677 SNOW_FLAT 7123 ZNZ1 0.83 0 null
